Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Audi Q4 Sportback e-tron 35 (MY24),N/A,,https://ev-database.org/car/2249/Audi-Q4-Sportback-e-tron-35,Not Available,Not Available,Jul 2024 - Mar 2025,179 Wh/km,242 Wh/km,208 Wh/km,120 Wh/km,189 Wh/km,153 Wh/km,217 km,15 min,124 km,341 km,1h 58min,1h 7min,3h 20min,55.0 kWh,Lithium-ion,192,400 V,8 years,"160,000 km",52.0 kWh,NMC,96s2p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,480 km/h,145 kW DC,90 kW DC,No,Yes,ISO 15118-2,No,No,9.0 sec,160 km/h,300 km,125 kW (170 PS),310 Nm,Rear,No,No Data,-,-,No,Announced,No,Announced,300 km,173 Wh/km,0 g/km,1.9 l/100km,325 km,187 Wh/km,160 Wh/km,2.1 l/100km,1.8 l/100km,4588 mm,1865 mm,2108 mm,1614 mm,2764 mm,1990 kg,2500 kg,585 kg,535 L,1460 L,0 L,75 kg,Yes,750 kg,1000 kg,75 kg,5 people,"Yes, 3 seats",No Data,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,93%,89%,2021,66%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Hyundai Kona Electric 48 kWh (MY24-25),N/A,,https://ev-database.org/car/1829/Hyundai-Kona-Electric-48-kWh,Jul 2023 - Oct 2025,Aug 2023 - Dec 2025,Sep 2023 - Dec 2025,167 Wh/km,236 Wh/km,198 Wh/km,111 Wh/km,179 Wh/km,142 Wh/km,210 km,15 min,78 km,288 km,1h 55min,42min,2h 52min,,Lithium-ion,No Data,400 V,8 years,"160,000 km",48.4 kWh,No Data,No Data,295 V,No Data,No Data,CCS,Front Side - Middle,11 kW AC,,280 km/h,75 kW DC,50 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,8.8 sec,160 km/h,295 km,115 kW (156 PS),255 Nm,Front,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,No,No,No,No,295 km,164 Wh/km,0 g/km,1.8 l/100km,377 km,146 Wh/km,128 Wh/km,1.6 l/100km,1.4 l/100km,4355 mm,1825 mm,No Data,1575 mm,2660 mm,1690 kg,2110 kg,495 kg,466 L,1300 L,27 L,100 kg,Yes,300 kg,300 kg,0 kg,5 people,"Yes, 2 seats",10.6 m,No Data,No Data,SUV,JB - Compact,Yes,Varies by country,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,80%,83%,2023,64%,60%,,,,,,,,,,,,,,,,,51.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen ID.5 GTX (MY27),N/A,,https://ev-database.org/car/3502/Volkswagen-ID5-GTX,Since April 2026,Not Available,Since March 2026,183 Wh/km,252 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,157 Wh/km,310 km,15 min,163 km,473 km,2h 49min,1h 29min,4h 33min,82.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",77.0 kWh,NMC,No Data,350 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,640 km/h,185 kW DC,120 kW DC,No,Yes,ISO 15118-2,Yes,Yes,5.4 sec,180 km/h,430 km,250 kW (340 PS),No Data,AWD,Yes,No Data,1 x Type 2 (Adapter),-,No,Announced,No,Announced,430 km,179 Wh/km,0 g/km,2.0 l/100km,541 km,162 Wh/km,142 Wh/km,1.8 l/100km,1.6 l/100km,4582 mm,1852 mm,2108 mm,1601 mm,2772 mm,2226 kg,2760 kg,609 kg,539 L,1551 L,0 L,75 kg,Yes,750 kg,1800 kg,75 kg,5 people,"Yes, 3 seats",11.6 m,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Ford Capri Extended Range RWD (MY26),N/A,,https://ev-database.org/car/3452/Ford-Capri-Extended-Range-RWD,Not Available,Since July 2024,Since January 2026,174 Wh/km,236 Wh/km,200 Wh/km,115 Wh/km,182 Wh/km,146 Wh/km,340 km,15 min,186 km,526 km,3h 6min,1h 41min,5h 2min,84.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",79.0 kWh,NMC,96s3p,353 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,750 km/h,185 kW DC,135 kW DC,No,Yes,ISO 15118-2,Yes,Yes,6.4 sec,180 km/h,470 km,210 kW (286 PS),545 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,470 km,168 Wh/km,0 g/km,1.9 l/100km,572 km,147 Wh/km,138 Wh/km,1.7 l/100km,1.6 l/100km,4643 mm,1872 mm,2063 mm,1627 mm,2767 mm,2098 kg,2685 kg,662 kg,572 L,1510 L,0 L,75 kg,Yes,750 kg,1000 kg,75 kg,5 people,"Yes, 2 seats",9.7 m,VAG MEB,Yes,Liftback Sedan,D - Large,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volvo EC40 Twin Motor Performance (MY26),N/A,,https://ev-database.org/car/3157/Volvo-EC40-Twin-Motor-Performance,Since April 2025,Since April 2025,Since February 2025,198 Wh/km,277 Wh/km,232 Wh/km,135 Wh/km,216 Wh/km,174 Wh/km,288 km,15 min,150 km,438 km,2h 37min,1h 22min,4h 14min,82.0 kWh,Lithium-ion,108,400 V,8 years,"160,000 km",79.0 kWh,NMC,108s1p,400 V,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,520 km/h,207 kW DC,110 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,4.6 sec,180 km/h,400 km,325 kW (442 PS),670 Nm,AWD,No,-,-,-,No,No,No,No,400 km,198 Wh/km,0 g/km,2.2 l/100km,510 km,187 Wh/km,155 Wh/km,2.1 l/100km,1.7 l/100km,4440 mm,1873 mm,2034 mm,1596 mm,2702 mm,2185 kg,2620 kg,510 kg,404 L,1196 L,31 L,75 kg,Yes,750 kg,1800 kg,100 kg,5 people,"Yes, 2 seats",11.4 m,Geely CMA,No,SUV,JC - Medium,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
CUPRA Born VZ (MY27),N/A,,https://ev-database.org/car/3513/CUPRA-Born-VZ,Not Available,Not Available,Since April 2026,172 Wh/km,232 Wh/km,198 Wh/km,113 Wh/km,180 Wh/km,144 Wh/km,345 km,15 min,173 km,518 km,3h 8min,1h 34min,4h 57min,84.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",79.0 kWh,NMC,96s3p,353 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,660 km/h,183 kW DC,115 kW DC,No,Yes,ISO 15118-2,Yes,Yes,5.6 sec,200 km/h,475 km,240 kW (326 PS),545 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,475 km,166 Wh/km,0 g/km,1.9 l/100km,553 km,143 Wh/km,143 Wh/km,1.6 l/100km,1.6 l/100km,4322 mm,1809 mm,2070 mm,1538 mm,2766 mm,2004 kg,2430 kg,501 kg,385 L,1267 L,0 L,0 kg,Yes,0 kg,0 kg,75 kg,5 people,"Yes, 3 seats",10.2 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Kia e-Niro 64 kWh,N/A,,https://ev-database.org/car/1125/Kia-e-Niro-64-kWh,Apr 2019 - Jul 2020,Dec 2018 - Jan 2020,Dec 2018 - Jan 2020,,,,,,,268 km,15 min,81 km,349 km,2h 26min,44min,3h 25min,,Lithium-ion,294,400 V,7 years,"150,000 km",64.0 kWh,NMC622,98s3p,360 V,Pouch,No Data,CCS,Front Side - Middle,7.2 kW AC,,340 km/h,77 kW DC,61 kW DC,Yes,No,-,No,No,7.8 sec,167 km/h,,150 kW (204 PS),395 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,455 km,159 Wh/km,141 Wh/km,1.8 l/100km,1.6 l/100km,4375 mm,1805 mm,No Data,1570 mm,2700 mm,1812 kg,2230 kg,493 kg,451 L,1405 L,0 L,100 kg,No Data,0 kg,0 kg,No Data,5 people,"Yes, 2 seats",10.6 m,No Data,No Data,SUV,JC - Medium,Yes,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,83%,80%,2016,57%,59%,,,173 Wh/km,242 Wh/km,203 Wh/km,115 Wh/km,188 Wh/km,149 Wh/km,,375 km,,,,,,,67.5 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0,0
Volkswagen ID.4 Pro 4MOTION (MY24-25),N/A,,https://ev-database.org/car/2029/Volkswagen-ID4-Pro-4MOTION,Jul 2024 - Jul 2025,Jan 2024 - Jul 2025,Oct 2023 - Jul 2025,,,,,,,314 km,15 min,163 km,477 km,2h 51min,1h 29min,4h 35min,82.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",77.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,650 km/h,175 kW DC,120 kW DC,No,Yes,ISO 15118-2,Yes,Yes,6.6 sec,180 km/h,,210 kW (286 PS),679 Nm,AWD,No,10.0 kW DC,-,-,No,Announced,No,Announced,,,0 g/km,,497 km,187 Wh/km,155 Wh/km,2.1 l/100km,1.7 l/100km,4584 mm,1852 mm,No Data,1631 mm,2771 mm,2233 kg,2760 kg,602 kg,543 L,1575 L,0 L,75 kg,Yes,750 kg,1200 kg,75 kg,5 people,"Yes, 3 seats",11.6 m,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,93%,89%,2021,76%,85%,,,181 Wh/km,248 Wh/km,211 Wh/km,121 Wh/km,193 Wh/km,154 Wh/km,,435 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Audi e-tron S Sportback,N/A,,https://ev-database.org/car/1272/Audi-e-tron-S-Sportback,Oct 2020 - Sep 2021,Oct 2020 - Sep 2021,Oct 2020 - Sep 2021,258 Wh/km,353 Wh/km,304 Wh/km,186 Wh/km,284 Wh/km,234 Wh/km,244 km,15 min,110 km,354 km,2h 13min,1h 0min,3h 28min,95.0 kWh,Lithium-ion,432,400 V,No Data,No Data,86.5 kWh,NMC622,108s4p,396 V,Pouch,No Data,CCS,Driver's Side - Front,11 kW AC,,540 km/h,155 kW DC,147 kW DC,Yes,No,-,No,No,4.5 sec,210 km/h,335 km,370 kW (503 PS),973 Nm,AWD,No,-,-,-,No,No,No,No,335 km,258 Wh/km,0 g/km,2.9 l/100km,347 km,281 Wh/km,249 Wh/km,3.2 l/100km,2.8 l/100km,4902 mm,1976 mm,2043 mm,1616 mm,2928 mm,2695 kg,3245 kg,625 kg,615 L,1725 L,62 L,75 kg,Yes,750 kg,1800 kg,80 kg,5 people,"Yes, 3 seats",12.2 m,VAG MLB Evo,No,SUV,JE - Executive,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,91%,85%,2019,71%,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Jeep Avenger Electric,N/A,,https://ev-database.org/car/1816/Jeep-Avenger-Electric,Since June 2023,Since January 2023,Since January 2023,,,,,,,219 km,15 min,111 km,330 km,2h 0min,1h 0min,3h 15min,54.0 kWh,Lithium-ion,102,400 V,8 years,"160,000 km",50.8 kWh,NMC811,102s1p,377 V,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,460 km/h,107 kW DC,79 kW DC,Yes,No,-,No,No,9.0 sec,150 km/h,,115 kW (156 PS),260 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,385 km,159 Wh/km,132 Wh/km,1.8 l/100km,1.5 l/100km,4084 mm,1776 mm,No Data,1528 mm,2562 mm,1595 kg,2015 kg,495 kg,355 L,1252 L,0 L,0 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 3 seats",10.5 m,PSA e-CMP,No,SUV,JB - Compact,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,79%,70%,2024,59%,53%,,,167 Wh/km,236 Wh/km,195 Wh/km,109 Wh/km,181 Wh/km,143 Wh/km,,310 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
CUPRA Born 170 kW - 77 kWh (MY25-26),N/A,,https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh,Jul 2024 - Jul 2025,Jun 2024 - Jun 2025,Jun 2024 - Jul 2025,173 Wh/km,233 Wh/km,200 Wh/km,114 Wh/km,181 Wh/km,145 Wh/km,335 km,15 min,177 km,512 km,3h 3min,1h 36min,4h 54min,82.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",77.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,710 km/h,175 kW DC,125 kW DC,No,Yes,ISO 15118-2,Yes,Yes,7.0 sec,160 km/h,460 km,170 kW (231 PS),310 Nm,Rear,No,-,-,-,No,No,No,No,460 km,167 Wh/km,0 g/km,1.9 l/100km,501 km,175 Wh/km,154 Wh/km,2.0 l/100km,1.7 l/100km,4322 mm,1809 mm,2070 mm,1540 mm,2766 mm,1965 kg,2350 kg,460 kg,385 L,1267 L,0 L,0 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 3 seats",10.2 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Audi Q4 Sportback e-tron 40 (MY25),N/A,,https://ev-database.org/car/3149/Audi-Q4-Sportback-e-tron-40,Since April 2025,Since April 2025,Apr 2025 - Mar 2026,176 Wh/km,241 Wh/km,207 Wh/km,118 Wh/km,187 Wh/km,149 Wh/km,248 km,15 min,147 km,395 km,2h 15min,1h 20min,3h 50min,63.0 kWh,Lithium-ion,216,400 V,8 years,"160,000 km",59.0 kWh,NMC,108s2p,397 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,590 km/h,165 kW DC,110 kW DC,No,Yes,ISO 15118-2,Yes,Yes,8.1 sec,160 km/h,340 km,150 kW (204 PS),310 Nm,Rear,No,No Data,-,-,No,Announced,No,Announced,340 km,174 Wh/km,0 g/km,1.9 l/100km,379 km,180 Wh/km,156 Wh/km,2.0 l/100km,1.7 l/100km,4588 mm,1865 mm,2108 mm,1614 mm,2764 mm,2035 kg,2540 kg,580 kg,520 L,1490 L,0 L,75 kg,Yes,750 kg,1000 kg,75 kg,5 people,"Yes, 3 seats",No Data,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,91%,87%,2025,79%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Mercedes-Benz VLE 300,N/A,,https://ev-database.org/car/3519/Mercedes-Benz-VLE-300,Expected May 2026,Expected May 2026,Since April 2026,217 Wh/km,299 Wh/km,253 Wh/km,151 Wh/km,237 Wh/km,192 Wh/km,386 km,15 min,216 km,602 km,3h 31min,1h 58min,5h 44min,,Lithium-ion,No Data,800 V,8 years,"160,000 km",115.0 kWh,NMC,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,43 km/h,,,Yes,Yes,ISO 15118-2,Yes,Yes,,,535 km,203 kW (276 PS),No Data,Front,No,No Data,-,-,No,Announced,No,Announced,535 km,215 Wh/km,0 g/km,2.4 l/100km,555 km,207 Wh/km,207 Wh/km,2.3 l/100km,2.3 l/100km,5309 mm,1999 mm,2248 mm,1943 mm,3342 mm,,3500 kg,No Data,795 L,4078 L,0 L,No Data,Yes,No Data,No Data,100 kg,7 people,Yes,10.9 m,Mercedes-Benz VAN.EA,Yes,Small Passenger Van,N - Passenger Van,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,122.0 kWh,,,,,,,,,9.0 sec,,,,,,,,,,,,,,,,,,,,,,,300 kW DC,195 kW DC,860 km/h,,,,,,,,,,,,,,,,,2800 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,"£75,000",,,,,,,,,,,"€85,000",,,,,,12h30m,,,,,,,,,,,,,,,,,,,,,170 km/h,,,,,,,,,,11.0,0,0
Smart #5 Pro+ (MY25),N/A,,https://ev-database.org/car/3142/Smart-5-Proplus,Since October 2025,Since May 2025,Since May 2025,204 Wh/km,282 Wh/km,237 Wh/km,140 Wh/km,223 Wh/km,178 Wh/km,342 km,15 min,244 km,587 km,3h 7min,2h 13min,5h 35min,100.0 kWh,Lithium-ion,No Data,800 V,8 years,"200,000 km",,NMC,No Data,685 V,Prismatic,CATL QILIN,CCS,Left Side - Rear,22 kW AC,,1100 km/h,400 kW DC,230 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.5 sec,200 km/h,475 km,267 kW (363 PS),373 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,475 km,202 Wh/km,0 g/km,2.3 l/100km,590 km,184 Wh/km,163 Wh/km,2.1 l/100km,1.8 l/100km,4695 mm,1920 mm,2169 mm,1705 mm,2900 mm,2335 kg,2750 kg,490 kg,630 L,1530 L,72 L,100 kg,Yes,750 kg,1600 kg,100 kg,5 people,"Yes, 3 seats",11.2 m,Geely SEA3,Yes,SUV,JD - Large,Yes,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,96.0 kWh,,,,88%,93%,2025,84%,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
